"discipline"	"Institutions"	"total_cites"	"avg_cites_per_paper"	"total_top_papers"
"agricultural_sciences"	"SOUTH CHINA BOTANICAL GARDEN, CAS"	"17918"	"25.82"	"14"
"agricultural_sciences"	"SHANXI AGRICULTURAL UNIVERSITY"	"17816"	"11.08"	"11"
"agricultural_sciences"	"NANJING NORMAL UNIVERSITY"	"17605"	"20.24"	"10"
"agricultural_sciences"	"INSTITUTE OF SUBTROPICAL AGRICULTURE, CAS"	"17573"	"27.76"	"11"
"agricultural_sciences"	"ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES"	"17132"	"15.19"	"12"
"agricultural_sciences"	"HENAN AGRICULTURAL UNIVERSITY"	"16987"	"11.39"	"11"
"agricultural_sciences"	"TSINGHUA UNIVERSITY"	"16927"	"21.43"	"17"
"agricultural_sciences"	"CHENGDU UNIVERSITY"	"16760"	"19.72"	"33"
"agricultural_sciences"	"BOHAI UNIVERSITY"	"16570"	"23.21"	"22"
"agricultural_sciences"	"CHINESE ACADEMY OF TROPICAL AGRICULTURAL SCIENCES"	"16569"	"14.75"	"13"
"agricultural_sciences"	"NORTHEAST INSTITUTE OF GEOGRAPHY & AGROECOLOGY, CAS"	"16396"	"17.01"	"7"
"agricultural_sciences"	"WUHAN POLYTECHNIC UNIVERSITY"	"16072"	"16.32"	"15"
"agricultural_sciences"	"CHINESE ACADEMY OF FORESTRY"	"16027"	"14.06"	"8"
"agricultural_sciences"	"HENAN UNIVERSITY OF SCIENCE & TECHNOLOGY"	"15916"	"13.5"	"18"
"agricultural_sciences"	"NORTHWEST UNIVERSITY XI'AN"	"15592"	"20.41"	"16"
"agricultural_sciences"	"YANGTZE UNIVERSITY"	"15095"	"17.31"	"11"
"agricultural_sciences"	"TEA RESEARCH INSTITUTE, CAAS"	"14952"	"25.87"	"26"
"agricultural_sciences"	"SHANDONG ACADEMY OF AGRICULTURAL SCIENCES"	"14767"	"13.34"	"13"
"agricultural_sciences"	"INSTITUTE OF BOTANY, CAS"	"14337"	"26.31"	"11"
"agricultural_sciences"	"SHENZHEN UNIVERSITY"	"14324"	"18.87"	"17"
"agricultural_sciences"	"HUBEI UNIVERSITY OF TECHNOLOGY"	"14294"	"19.42"	"17"
"agricultural_sciences"	"TIANJIN UNIVERSITY"	"13841"	"18.75"	"17"
"agricultural_sciences"	"FUZHOU UNIVERSITY"	"13768"	"23.66"	"14"
"agricultural_sciences"	"INNER MONGOLIA AGRICULTURAL UNIVERSITY"	"13757"	"10.41"	"6"
"agricultural_sciences"	"NANJING UNIVERSITY"	"13532"	"20.57"	"11"
"agricultural_sciences"	"SHAANXI UNIVERSITY OF SCIENCE & TECHNOLOGY"	"13239"	"19.67"	"16"
"agricultural_sciences"	"INSTITUTE OF ENVIRONMENT & SUSTAINABLE DEVELOPMENT IN AGRICULTURE, CAAS"	"13210"	"21.91"	"10"
"agricultural_sciences"	"NANKAI UNIVERSITY"	"13182"	"16.99"	"11"
"agricultural_sciences"	"ZHENGZHOU UNIVERSITY"	"13093"	"13.15"	"14"
"agricultural_sciences"	"RESEARCH CENTER FOR ECO-ENVIRONMENTAL SCIENCES (RCEES), CAS"	"12829"	"30.91"	"13"
"agricultural_sciences"	"HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY"	"12828"	"17.77"	"9"
"agricultural_sciences"	"CENTRAL SOUTH UNIVERSITY"	"12455"	"22.52"	"8"
"agricultural_sciences"	"QINGDAO UNIVERSITY"	"12447"	"16.91"	"11"
"agricultural_sciences"	"CENTRAL SOUTH UNIVERSITY OF FORESTRY & TECHNOLOGY"	"12208"	"15.51"	"7"
"agricultural_sciences"	"ZHENGZHOU UNIVERSITY OF LIGHT INDUSTRY"	"12085"	"22.93"	"18"
"agricultural_sciences"	"INSTITUTE OF GENETICS & DEVELOPMENTAL BIOLOGY, CAS"	"11839"	"22.13"	"18"
"agricultural_sciences"	"KUNMING UNIVERSITY OF SCIENCE & TECHNOLOGY"	"11430"	"12.9"	"15"
"agricultural_sciences"	"YUNNAN AGRICULTURAL UNIVERSITY"	"11345"	"11.04"	"18"
"agricultural_sciences"	"HOHAI UNIVERSITY"	"11337"	"16.6"	"11"
"agricultural_sciences"	"JIANGXI NORMAL UNIVERSITY"	"11042"	"23.2"	"10"
"agricultural_sciences"	"CHINESE ACADEMY OF MEDICAL SCIENCES - PEKING UNION MEDICAL COLLEGE"	"11026"	"13.77"	"7"
"agricultural_sciences"	"INSTITUTE OF PLANT PROTECTION, CAAS"	"10654"	"12.82"	"2"
"agricultural_sciences"	"LAOSHAN LABORATORY"	"10573"	"19.91"	"9"
"agricultural_sciences"	"SHANGHAI INSTITUTE OF TECHNOLOGY"	"10544"	"20.39"	"10"
"agricultural_sciences"	"FUDAN UNIVERSITY"	"10427"	"15.94"	"7"
"agricultural_sciences"	"UNIVERSITY OF SHANGHAI FOR SCIENCE & TECHNOLOGY"	"10236"	"15.53"	"10"
"agricultural_sciences"	"HENAN UNIVERSITY"	"10020"	"17.01"	"11"
"agricultural_sciences"	"SOOCHOW UNIVERSITY - CHINA"	"10004"	"16.43"	"4"
"agricultural_sciences"	"NANJING UNIVERSITY OF INFORMATION SCIENCE & TECHNOLOGY"	"9900"	"17.1"	"7"
"agricultural_sciences"	"GUANGDONG ACADEMY OF SCIENCES"	"9681"	"16.38"	"4"
"agricultural_sciences"	"SHANDONG UNIVERSITY OF TECHNOLOGY"	"9663"	"14.96"	"12"
"agricultural_sciences"	"OIL CROPS RESEARCH INSTITUTE, CAAS"	"9661"	"19.13"	"9"
"agricultural_sciences"	"JIMEI UNIVERSITY"	"9444"	"15.06"	"15"
"agricultural_sciences"	"HUNAN ACADEMY OF AGRICULTURAL SCIENCES"	"9039"	"16.8"	"10"
"agricultural_sciences"	"GUANGDONG OCEAN UNIVERSITY"	"8957"	"12.69"	"10"
"agricultural_sciences"	"ZHEJIANG OCEAN UNIVERSITY"	"8946"	"19.12"	"17"
"agricultural_sciences"	"SHANDONG UNIVERSITY"	"8934"	"13.58"	"3"
"agricultural_sciences"	"ZHONGKAI UNIVERSITY OF AGRICULTURE & ENGINEERING"	"8636"	"14.32"	"11"
"agricultural_sciences"	"FUJIAN NORMAL UNIVERSITY"	"8524"	"17.08"	"3"
"agricultural_sciences"	"NINGXIA UNIVERSITY"	"8508"	"11.56"	"9"
"agricultural_sciences"	"HENAN INSTITUTE OF SCIENCE & TECHNOLOGY"	"8474"	"12.61"	"8"
"agricultural_sciences"	"GUANGDONG PHARMACEUTICAL UNIVERSITY"	"8430"	"23.16"	"6"
"agricultural_sciences"	"GUANGDONG LABORATORY FOR LINGNAN MODERN AGRICULTURE"	"8415"	"11.04"	"8"
"agricultural_sciences"	"HEILONGJIANG ACADEMY OF AGRICULTURAL SCIENCES"	"8393"	"15.63"	"5"
"agricultural_sciences"	"INSTITUTE OF ANIMAL SCIENCE, CAAS"	"8213"	"14.82"	"1"
"agricultural_sciences"	"HARBIN INSTITUTE OF TECHNOLOGY"	"8184"	"18.23"	"8"
"agricultural_sciences"	"CHINESE ACADEMY OF FISHERY SCIENCES"	"8085"	"15"	"9"
"agricultural_sciences"	"SHANGHAI ACADEMY OF AGRICULTURAL SCIENCES"	"8079"	"12.84"	"4"
"agricultural_sciences"	"EAST CHINA UNIVERSITY OF SCIENCE & TECHNOLOGY"	"8045"	"16.62"	"3"
"agricultural_sciences"	"CHENGDU INSTITUTE OF BIOLOGY, CAS"	"8018"	"19.14"	"4"
"agricultural_sciences"	"NORTHEAST NORMAL UNIVERSITY - CHINA"	"7904"	"17.64"	"5"
"agricultural_sciences"	"ANHUI ACADEMY OF AGRICULTURAL SCIENCES"	"7904"	"17.07"	"7"
"agricultural_sciences"	"SOUTHERN MEDICAL UNIVERSITY - CHINA"	"7716"	"14.45"	"5"
"agricultural_sciences"	"FOSHAN UNIVERSITY"	"7706"	"17.84"	"13"
"agricultural_sciences"	"XINJIANG INSTITUTE OF ECOLOGY & GEOGRAPHY, CAS"	"7672"	"17.24"	"4"
"agricultural_sciences"	"SICHUAN ACADEMY OF AGRICULTURAL SCIENCES (SAAS)"	"7632"	"14.16"	"3"
"agricultural_sciences"	"CHINA NATIONAL TOBACCO CORPORATION"	"7619"	"11.87"	"5"
"agricultural_sciences"	"CENTER FOR AGRICULTURAL RESOURCES RESEARCH, INSTITUTE OF GENETIC & DEVELOPMENTAL BIOLOGY, CAS"	"7581"	"23.62"	"11"
"agricultural_sciences"	"XI'AN JIAOTONG UNIVERSITY"	"7553"	"14.47"	"5"
"agricultural_sciences"	"HENAN ACADEMY OF AGRICULTURAL SCIENCES"	"7518"	"15.86"	"6"
"agricultural_sciences"	"CHINESE CENTER FOR DISEASE CONTROL & PREVENTION"	"7432"	"14.29"	"3"
"agricultural_sciences"	"XIAMEN UNIVERSITY"	"7425"	"16.8"	"2"
"agricultural_sciences"	"XI'AN UNIVERSITY OF TECHNOLOGY"	"7394"	"18.53"	"7"
"agricultural_sciences"	"INSTITUTE OF EARTH ENVIRONMENT, CAS"	"7366"	"26.03"	"13"
"agricultural_sciences"	"PEKING UNION MEDICAL COLLEGE"	"7256"	"13.03"	"2"
"agricultural_sciences"	"CHINA NATIONAL RICE RESEARCH INSTITUTE, CAAS"	"7215"	"16.74"	"6"
"agricultural_sciences"	"MINISTRY OF NATURAL RESOURCES OF THE PEOPLE'S REPUBLIC OF CHINA"	"7038"	"16.14"	"9"
"agricultural_sciences"	"CHINA UNIVERSITY OF GEOSCIENCES"	"6988"	"18.54"	"11"
"agricultural_sciences"	"SHANXI UNIVERSITY"	"6979"	"14.88"	"4"
"agricultural_sciences"	"INSTITUTE OF MOUNTAIN HAZARDS & ENVIRONMENT, CAS"	"6840"	"17.77"	"3"
"agricultural_sciences"	"HUBEI ACADEMY OF AGRICULTURAL SCIENCES"	"6832"	"15.49"	"3"
"agricultural_sciences"	"HEILONGJIANG BAYI AGRICULTURAL UNIVERSITY"	"6805"	"10.7"	"8"
"agricultural_sciences"	"XINJIANG AGRICULTURAL UNIVERSITY"	"6776"	"9.79"	"0"
"agricultural_sciences"	"YUNNAN UNIVERSITY"	"6754"	"12.32"	"2"
"agricultural_sciences"	"KUNMING INSTITUTE OF BOTANY, CAS"	"6683"	"18.88"	"4"
"agricultural_sciences"	"CHONGQING UNIVERSITY"	"6524"	"17.63"	"10"
"agricultural_sciences"	"EAST CHINA NORMAL UNIVERSITY"	"6513"	"18.82"	"4"
"agricultural_sciences"	"GUANGXI ACADEMY OF AGRICULTURAL SCIENCES"	"6512"	"13.16"	"5"
"agricultural_sciences"	"CHINA METEOROLOGICAL ADMINISTRATION"	"6471"	"20.22"	"6"
"agricultural_sciences"	"XINJIANG ACADEMY OF AGRICULTURAL SCIENCES"	"6432"	"12.35"	"7"
"agricultural_sciences"	"CHINA INSTITUTE OF WATER RESOURCES & HYDROPOWER RESEARCH"	"6428"	"14.64"	"1"
"agricultural_sciences"	"INSTITUTE OF URBAN ENVIRONMENT, CAS"	"6396"	"29.21"	"7"
"agricultural_sciences"	"NANJING MEDICAL UNIVERSITY"	"6360"	"15"	"4"
"agricultural_sciences"	"JILIN ACADEMY OF AGRICULTURAL SCIENCES"	"6349"	"15.37"	"7"
"agricultural_sciences"	"GUANGDONG UNIVERSITY OF TECHNOLOGY"	"6339"	"19.27"	"8"
"agricultural_sciences"	"INSTITUTE OF TIBETAN PLATEAU RESEARCH, CAS"	"6296"	"24.89"	"4"
"agricultural_sciences"	"NANJING TECH UNIVERSITY"	"6250"	"14.47"	"4"
"agricultural_sciences"	"INSTITUTE OF URBAN AGRICULTURE, CAAS"	"6015"	"28.78"	"16"
"agricultural_sciences"	"YUNNAN ACADEMY OF AGRICULTURAL SCIENCES"	"6011"	"10.7"	"3"
"agricultural_sciences"	"QINGHAI UNIVERSITY"	"5967"	"10.47"	"4"
"agricultural_sciences"	"CHINA PHARMACEUTICAL UNIVERSITY"	"5962"	"18.29"	"1"
"agricultural_sciences"	"SHENYANG PHARMACEUTICAL UNIVERSITY"	"5795"	"16.56"	"2"
"agricultural_sciences"	"LUDONG UNIVERSITY"	"5607"	"14.05"	"7"
"agricultural_sciences"	"BEIJING NORMAL UNIVERSITY - HONG KONG BAPTIST UNIVERSITY UNITED INTERNATIONAL COLLEGE"	"5589"	"34.29"	"9"
"agricultural_sciences"	"WUHAN INSTITUTE OF TECHNOLOGY"	"5526"	"27.77"	"6"
"agricultural_sciences"	"HEBEI ACADEMY OF AGRICULTURAL & FORESTRY SCIENCES"	"5477"	"12.06"	"3"
"agricultural_sciences"	"GRADUATE SCHOOL, CAAS"	"5476"	"22.63"	"7"
"agricultural_sciences"	"BEIJING UNIVERSITY OF CHEMICAL TECHNOLOGY"	"5465"	"19.73"	"3"
"agricultural_sciences"	"INSTITUTE OF QUALITY STANDARDS & TESTING TECHNOLOGY FOR AGRO-PRODUCTS, CAAS"	"5461"	"19.43"	"4"
"agricultural_sciences"	"DONGGUAN UNIVERSITY OF TECHNOLOGY"	"5445"	"22.97"	"7"
"agricultural_sciences"	"SHANDONG NORMAL UNIVERSITY"	"5346"	"17.94"	"3"
"agricultural_sciences"	"SOUTH CHINA NORMAL UNIVERSITY"	"5301"	"20.08"	"6"
"agricultural_sciences"	"HUNAN UNIVERSITY"	"5280"	"20.23"	"4"
"agricultural_sciences"	"GUANGZHOU UNIVERSITY"	"5249"	"16.82"	"3"
"agricultural_sciences"	"WUHAN BOTANICAL GARDEN, CAS"	"5245"	"21.67"	"2"
"agricultural_sciences"	"GUANGZHOU UNIVERSITY OF CHINESE MEDICINE"	"5189"	"16.9"	"1"
"agricultural_sciences"	"WENZHOU MEDICAL UNIVERSITY"	"5155"	"14.48"	"6"
"agricultural_sciences"	"SOUTHEAST UNIVERSITY - CHINA"	"5093"	"12.24"	"4"
"agricultural_sciences"	"INSTITUTE OF VEGETABLES & FLOWERS, CAAS"	"5080"	"12.73"	"3"
"agricultural_sciences"	"HEBEI UNIVERSITY"	"5054"	"11.57"	"1"
"agricultural_sciences"	"COLLABORATIVE INNOVATION CENTER OF CHEMICAL SCIENCE & ENGINEERING TIANJIN"	"5014"	"31.73"	"1"
"agricultural_sciences"	"XINJIANG UNIVERSITY"	"4944"	"12.91"	"6"
"agricultural_sciences"	"NANJING UNIVERSITY OF CHINESE MEDICINE"	"4934"	"13.16"	"2"
"agricultural_sciences"	"NORTHWESTERN POLYTECHNICAL UNIVERSITY"	"4927"	"25.01"	"3"
"agricultural_sciences"	"TARIM UNIVERSITY"	"4921"	"9.52"	"4"
"agricultural_sciences"	"INSTITUTE OF COTTON RESEARCH, CAAS"	"4908"	"11.71"	"3"
"agricultural_sciences"	"CHINA ACADEMY OF CHINESE MEDICAL SCIENCES"	"4830"	"13.16"	"1"
"agricultural_sciences"	"INSTITUTE OF APICULTURAL RESEARCH, CAAS"	"4813"	"20.39"	"3"
"agricultural_sciences"	"TONGJI UNIVERSITY"	"4804"	"17.28"	"6"
"agricultural_sciences"	"CENTRAL CHINA NORMAL UNIVERSITY"	"4772"	"21.89"	"8"
"agricultural_sciences"	"CHINA JILIANG UNIVERSITY"	"4749"	"14.01"	"4"
"agricultural_sciences"	"HARBIN UNIVERSITY OF COMMERCE"	"4704"	"12.19"	"8"
"agricultural_sciences"	"BEIJING UNIVERSITY OF AGRICULTURE"	"4683"	"13.12"	"0"
"agricultural_sciences"	"CAPITAL MEDICAL UNIVERSITY"	"4670"	"11.07"	"3"
"agricultural_sciences"	"TIANJIN UNIVERSITY OF COMMERCE"	"4665"	"17.21"	"0"
"agricultural_sciences"	"DALIAN MINZU UNIVERSITY"	"4646"	"17.8"	"2"
"agricultural_sciences"	"YANTAI UNIVERSITY"	"4646"	"14.84"	"6"
"agricultural_sciences"	"DALIAN UNIVERSITY OF TECHNOLOGY"	"4619"	"18.78"	"1"
"agricultural_sciences"	"FUJIAN ACADEMY OF AGRICULTURAL SCIENCES"	"4608"	"11.05"	"1"
"agricultural_sciences"	"CHENGDU UNIVERSITY OF TRADITIONAL CHINESE MEDICINE"	"4496"	"13.75"	"7"
"agricultural_sciences"	"LINYI UNIVERSITY"	"4490"	"16.33"	"3"
"agricultural_sciences"	"XIHUA UNIVERSITY"	"4475"	"11.33"	"6"
"agricultural_sciences"	"COLD & ARID REGIONS ENVIRONMENTAL & ENGINEERING RESEARCH INSTITUTE, CAS"	"4402"	"34.12"	"1"
"agricultural_sciences"	"TOBACCO RESEARCH INSTITUTE, CAAS"	"4389"	"20.7"	"5"
"agricultural_sciences"	"JIANGSU UNIVERSITY OF SCIENCE & TECHNOLOGY"	"4387"	"14.38"	"3"
"agricultural_sciences"	"HANGZHOU NORMAL UNIVERSITY"	"4377"	"14.35"	"2"
"agricultural_sciences"	"YANAN UNIVERSITY"	"4304"	"26.57"	"5"
"agricultural_sciences"	"ZHEJIANG SCI-TECH UNIVERSITY"	"4304"	"14.11"	"4"
"agricultural_sciences"	"CHANGSHA UNIVERSITY OF SCIENCE & TECHNOLOGY"	"4295"	"15.91"	"7"
"agricultural_sciences"	"ZHEJIANG CHINESE MEDICAL UNIVERSITY"	"4269"	"13.42"	"3"
"agricultural_sciences"	"JIANGSU NORMAL UNIVERSITY"	"4254"	"22.16"	"5"
"agricultural_sciences"	"XISHUANGBANNA TROPICAL BOTANICAL GARDEN, CAS"	"4238"	"17.88"	"2"
"agricultural_sciences"	"ZHEJIANG UNIVERSITY OF SCIENCE & TECHNOLOGY"	"4216"	"12.62"	"13"
"agricultural_sciences"	"SOUTHWEST MINZU UNIVERSITY"	"4194"	"14.03"	"1"
"agricultural_sciences"	"SOUTHWEST FORESTRY UNIVERSITY - CHINA"	"4177"	"9.83"	"6"
"agricultural_sciences"	"JIANGXI ACADEMY OF AGRICULTURAL SCIENCES"	"4101"	"15.65"	"2"
"agricultural_sciences"	"AGRICULTURE GENOMES INSTITUTE AT SHENZHEN, CAAS"	"4063"	"10.5"	"7"
"agricultural_sciences"	"LIAOCHENG UNIVERSITY"	"4057"	"13.85"	"2"
"agricultural_sciences"	"GANSU ACADEMY OF AGRICULTURAL SCIENCES"	"4010"	"14.02"	"3"
"agricultural_sciences"	"YANTAI INSTITUTE OF COASTAL ZONE RESEARCH, CAS"	"3999"	"21.85"	"3"
"agricultural_sciences"	"SOUTHERN UNIVERSITY OF SCIENCE & TECHNOLOGY"	"3996"	"24.67"	"4"
"agricultural_sciences"	"JIANGSU OCEAN UNIVERSITY"	"3989"	"17.27"	"3"
"agricultural_sciences"	"TIANJIN AGRICULTURAL UNIVERSITY"	"3970"	"11.25"	"2"
"agricultural_sciences"	"INSTITUTE OF CHEMICAL INDUSTRY OF FOREST PRODUCTS, CAF"	"3892"	"19.17"	"0"
"agricultural_sciences"	"FARMLAND IRRIGATION RESEARCH INSTITUTE, CAAS"	"3780"	"21.36"	"3"
"agricultural_sciences"	"UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS"	"3779"	"12.9"	"3"
"agricultural_sciences"	"GUIZHOU ACADEMY OF AGRICULTURAL SCIENCES"	"3742"	"10.34"	"2"
"agricultural_sciences"	"CHINESE ACADEMY OF INSPECTION & QUARANTINE"	"3721"	"14.65"	"1"
"agricultural_sciences"	"SHENYANG NORMAL UNIVERSITY"	"3716"	"18.58"	"4"
"agricultural_sciences"	"HEBEI UNIVERSITY OF SCIENCE & TECHNOLOGY"	"3693"	"16.13"	"2"
"agricultural_sciences"	"XI'AN UNIVERSITY OF SCIENCE & TECHNOLOGY"	"3691"	"39.27"	"10"
"agricultural_sciences"	"HEBEI NORMAL UNIVERSITY OF SCIENCE & TECHNOLOGY"	"3655"	"16.1"	"3"
"agricultural_sciences"	"LIAONING ACADEMY OF AGRICULTURAL SCIENCES"	"3604"	"10.82"	"0"
"biology_biochemistry"	"CHINESE ACADEMY OF SCIENCES"	"548769"	"24.93"	"378"
"biology_biochemistry"	"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS"	"203162"	"23.34"	"169"
"biology_biochemistry"	"SHANGHAI JIAO TONG UNIVERSITY"	"181585"	"20.38"	"126"
"biology_biochemistry"	"ZHEJIANG UNIVERSITY"	"155788"	"20.65"	"93"
"biology_biochemistry"	"PEKING UNIVERSITY"	"142206"	"25.38"	"124"
"biology_biochemistry"	"FUDAN UNIVERSITY"	"124101"	"19.07"	"96"
"biology_biochemistry"	"TSINGHUA UNIVERSITY"	"118042"	"32.57"	"102"
"biology_biochemistry"	"SUN YAT SEN UNIVERSITY"	"116152"	"20.4"	"83"
"biology_biochemistry"	"HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY"	"102736"	"21.54"	"66"
